,source,target,value
0,Mance ,Jon ,13
1,Mance ,Rayder ,39
2,Mance ,Harma ,5
3,Mance ,Tormund ,5
4,Mance ,Jarl ,3
5,Mance ,Giantsbane ,3
6,Robb ,Jon ,3
7,Robb ,Catelyn ,13
8,Robb ,Arya ,4
9,Robb ,Tyrion ,3
10,Robb ,Balon ,3
11,Robb ,Joffrey ,4
12,Robb ,Edmure ,6
13,Robb ,Walder ,3
14,Robb ,Stannis ,3
15,Robb ,Jeyne ,3
16,Robb ,Lothar ,4
17,Robb ,Stark ,15
18,Robb ,Frey ,7
19,Robb ,Bolton ,3
20,Robb ,Westerling ,3
21,Robb ,Bran ,4
22,Robb ,Rolph ,3
23,Robb ,Raynald ,4
24,Jon ,Robert ,3
25,Jon ,Lysa ,3
26,Jon ,Aemon ,9
27,Jon ,Grenn ,6
28,Jon ,Alliser ,5
29,Jon ,Donal ,5
30,Jon ,Qhorin ,4
31,Jon ,Rayder ,6
32,Jon ,Snow ,34
33,Jon ,Baratheon ,3
34,Jon ,Arryn ,12
35,Jon ,Mormont ,5
36,Jon ,Noye ,7
37,Jon ,Pyp ,5
38,Jon ,Rattleshirt ,4
39,Jon ,Ygritte ,14
40,Jon ,Styr ,3
41,Jon ,Tormund ,5
42,Jon ,Jarl ,3
43,Jon ,Grigg ,4
44,Jon ,Errok ,3
45,Jon ,Satin ,7
46,Jon ,Kegs ,4
47,Jon ,Horse ,4
48,Eddard ,Stark ,3
49,Theon ,Greyjoy ,11
50,Theon ,Bran ,5
51,Robert ,Lysa ,3
52,Robert ,Cersei ,3
53,Robert ,Jaime ,5
54,Robert ,Tyrion ,3
55,Robert ,Tywin ,3
56,Robert ,Baratheon ,8
57,Robert ,Arryn ,4
58,Harwin ,Arya ,4
59,Harwin ,Anguy ,5
60,Rickon ,Bran ,11
61,Catelyn ,Hoster ,4
62,Catelyn ,Edmure ,4
63,Catelyn ,Walder ,3
64,Catelyn ,Petyr ,3
65,Catelyn ,Maege ,3
66,Catelyn ,Jason ,3
67,Catelyn ,Stark ,6
68,Catelyn ,Greatjon ,4
69,Arya ,Sansa ,8
70,Arya ,Sandor ,4
71,Arya ,Beric ,3
72,Arya ,Gendry ,13
73,Arya ,Thoros ,5
74,Arya ,Anguy ,4
75,Arya ,Roose ,3
76,Arya ,Stark ,6
77,Arya ,Bran ,4
78,Arya ,Hot Pie ,4
79,Arya ,Lem ,5
80,Arya ,Tom ,3
81,Arya ,Greenbeard ,3
82,Sansa ,Lysa ,5
83,Sansa ,Tyrion ,15
84,Sansa ,Joffrey ,7
85,Sansa ,Petyr ,6
86,Sansa ,Loras ,3
87,Sansa ,Margaery ,7
88,Sansa ,Lothor ,3
89,Sansa ,Dontos ,3
90,Sansa ,Stark ,15
91,Sansa ,Tyrell ,5
92,Sansa ,Bran ,3
93,Aerys ,Jaime ,4
94,Aerys ,Targaryen ,3
95,Hoster ,Lysa ,3
96,Hoster ,Tully ,3
97,Pycelle ,Tyrion ,3
98,Benjen ,Stark ,4
99,Lysa ,Arryn ,13
100,Cersei ,Jaime ,11
101,Cersei ,Tyrion ,7
102,Cersei ,Tywin ,3
103,Cersei ,Joffrey ,3
104,Cersei ,Lannister ,7
105,Dany ,Drogo ,4
106,Dany ,Jorah ,9
107,Dany ,Irri ,5
108,Dany ,Jhiqui ,4
109,Dany ,Belwas ,3
110,Dany ,Kraznys ,3
111,Dany ,Missandei ,5
112,Dany ,Grey Worm ,4
113,Dany ,Daario ,3
114,Dany ,Arstan ,5
115,Rhaegar ,Elia ,3
116,Willem ,Lannister ,3
117,Willem ,Frey ,3
118,Jorah ,Mormont ,15
119,Jorah ,Daario ,3
120,Jaime ,Barristan ,4
121,Jaime ,Boros ,4
122,Jaime ,Loras ,3
123,Jaime ,Stark ,4
124,Jaime ,Lannister ,11
125,Jaime ,Blount ,3
126,Jaime ,Brienne ,16
127,Jaime ,Qyburn ,3
128,Jaime ,Urswyck ,3
129,Jaime ,Steelshanks ,5
130,Sandor ,Clegane ,29
131,Tyrion ,Tywin ,4
132,Tyrion ,Joffrey ,7
133,Tyrion ,Varys ,4
134,Tyrion ,Mace ,5
135,Tyrion ,Margaery ,3
136,Tyrion ,Gregor ,4
137,Tyrion ,Bronn ,3
138,Tyrion ,Addam ,3
139,Tyrion ,Podrick ,3
140,Tyrion ,Shae ,3
141,Tyrion ,Lannister ,14
142,Tyrion ,Martell ,3
143,Tyrion ,Clegane ,4
144,Tyrion ,Payne ,3
145,Tyrion ,Tyrell ,4
146,Tyrion ,Slynt ,3
147,Tyrion ,Galyeon ,3
148,Balon ,Greyjoy ,7
149,Balon ,Swann ,9
150,Rickard ,Karstark ,6
151,Tywin ,Joffrey ,3
152,Tywin ,Mace ,3
153,Tywin ,Lannister ,21
154,Tywin ,Tyrell ,4
155,Joffrey ,Margaery ,8
156,Joffrey ,Tyrell ,4
157,Daeron ,Baelor ,3
158,Edmure ,Tully ,9
159,Edmure ,Frey ,3
160,Edmure ,Stone ,4
161,Arthur ,Dayne ,5
162,Aemon ,Hobb ,3
163,Aemon ,Clydas ,6
164,Aemon ,Pyp ,3
165,Gerold ,Hightower ,5
166,Barristan ,Selmy ,5
167,Boros ,Blount ,7
168,Walder ,Lothar ,3
169,Walder ,Frey ,14
170,Walder ,Rivers ,5
171,Walder ,Black Walder ,10
172,Stannis ,Renly ,3
173,Stannis ,Baratheon ,16
174,Stannis ,Davos ,6
175,Stannis ,Azor Ahai ,3
176,Petyr ,Baelish ,7
177,Irri ,Jhiqui ,11
178,Jhiqui ,Missandei ,3
179,Ilyn ,Payne ,5
180,Loras ,Tyrell ,9
181,Grenn ,Pyp ,8
182,Grenn ,Dolorous Edd ,3
183,Alliser ,Janos ,4
184,Alliser ,Thorne ,10
185,Alliser ,Slynt ,3
186,Donal ,Noye ,30
187,Donal ,Mag ,3
188,Cotter ,Bowen ,3
189,Cotter ,Denys ,10
190,Cotter ,Othell ,3
191,Cotter ,Pyke ,22
192,Cotter ,Marsh ,3
193,Cotter ,Mallister ,4
194,Bowen ,Denys ,4
195,Bowen ,Janos ,5
196,Bowen ,Othell ,5
197,Bowen ,Marsh ,23
198,Bowen ,Mallister ,3
199,Bowen ,Yarwyck ,3
200,Mace ,Redwyne ,3
201,Mace ,Tyrell ,27
202,Galbart ,Glover ,9
203,Maege ,Mormont ,3
204,Denys ,Pyke ,9
205,Denys ,Marsh ,4
206,Denys ,Mallister ,9
207,Jeyne ,Westerling ,4
208,Syrio ,Forel ,4
209,Samwell ,Tarly ,10
210,Randyll ,Tyrell ,3
211,Randyll ,Tarly ,5
212,Qhorin ,Halfhand ,20
213,Janos ,Othell ,3
214,Janos ,Thorne ,4
215,Janos ,Marsh ,6
216,Janos ,Slynt ,18
217,Margaery ,Tyrell ,13
218,Beric ,Thoros ,6
219,Beric ,Dondarrion ,5
220,Beric ,Lem ,4
221,Beric ,Ned ,3
222,Gendry ,Hot Pie ,10
223,Gendry ,Lem ,3
224,Gendry ,Tom ,3
225,Jason ,Tytos ,3
226,Jason ,Mallister ,7
227,Jonos ,Bracken ,3
228,Gregor ,Clegane ,17
229,Robar ,Emmon ,3
230,Emmon ,Frey ,3
231,Jalabhar ,Xho ,4
232,Lothor ,Brune ,7
233,Anguy ,Lem ,6
234,Anguy ,Tom ,4
235,Roose ,Bolton ,26
236,Donnel ,Hill ,4
237,Donnel ,Sweet Donnel ,13
238,Donnel ,Sweet ,13
239,Oswell ,Whent ,3
240,Hobb ,Clydas ,3
241,Hobb ,Slynt ,3
242,Marq ,Lothar ,3
243,Marq ,Piper ,6
244,Lothar ,Frey ,7
245,Lothar ,Piper ,3
246,Kevan ,Lannister ,5
247,Othell ,Marsh ,5
248,Othell ,Yarwyck ,6
249,Robin ,Ryger ,4
250,Robin ,Flint ,6
251,Robin ,Smalljon ,3
252,Robett ,Glover ,7
253,Wendel ,Manderly ,6
254,Tytos ,Mallister ,3
255,Addam ,Marbrand ,5
256,Doran ,Martell ,5
257,Mirri ,Maz Duur ,4
258,Podrick ,Payne ,15
259,Dacey ,Mormont ,4
260,Garth ,Dirk ,5
261,Garth ,Karl ,3
262,Garth ,Ollo ,4
263,Vargo ,Hoat ,14
264,Amory ,Lorch ,3
265,Stark ,Tyrell ,3
266,Stark ,Ned ,6
267,Rayder ,Tormund ,5
268,Rayder ,Giantsbane ,3
269,Tully ,Frey ,3
270,Lannister ,Tyrell ,4
271,Lannister ,Frey ,3
272,Reed ,Meera ,5
273,Reed ,Jojen ,7
274,Redwyne ,Tyrell ,3
275,Pyke ,Mallister ,4
276,Marsh ,Mallister ,3
277,Marsh ,Yarwyck ,4
278,Tallhart ,Glover ,4
279,Mallister ,Blackwood ,3
280,Slynt ,Yarwyck ,3
281,Frey ,Merrett ,3
282,Flowers ,Knight of Flowers ,8
283,Cerwyn ,Cley ,4
284,Flint ,Smalljon ,3
285,Umber ,Greatjon ,4
286,Umber ,Smalljon ,4
287,Tarth ,Brienne ,3
288,Bran ,Hodor ,11
289,Bran ,Meera ,11
290,Bran ,Jojen ,9
291,Hodor ,Jojen ,6
292,Pyp ,Owen ,3
293,Davos ,Salladhor ,4
294,Davos ,Melisandre ,3
295,Davos ,Axell ,3
296,Davos ,Edric ,3
297,Davos ,Seaworth ,4
298,Davos ,Saan ,3
299,Salladhor ,Saan ,23
300,Axell ,Florent ,6
301,Rorge ,Biter ,3
302,Rorge ,Zollo ,4
303,Thoren ,Smallwood ,10
304,Edric ,Storm ,13
305,Mallador ,Smallwood ,3
306,Mallador ,Locke ,3
307,Ottyn ,Smallwood ,3
308,Meera ,Jojen ,7
309,Bernarr ,Black Bernarr ,3
310,Osmund ,Kettleblack ,8
311,Osney ,Osfryd ,3
312,Rattleshirt ,Harma ,3
313,Harma ,Jarl ,3
314,Ben ,Plumm ,6
315,Ben ,Brown Ben Plumm ,4
316,Belwas ,Strong Belwas ,38
