,source,target,value
0,Gared ,Will ,3
1,Gared ,Mormont ,3
2,Waymar ,Royce ,9
3,Will ,Sansa ,3
4,Will ,Stannis ,3
5,Will ,Cletus ,6
6,Will ,Hizdahr ,3
7,Brandon ,Jon ,3
8,Brandon ,Catelyn ,5
9,Brandon ,Aerys ,3
10,Brandon ,Rickard ,4
11,Brandon ,Lyanna ,4
12,Brandon ,Petyr ,5
13,Brandon ,Stark ,11
14,Brandon ,Ygritte ,3
15,Brandon ,Ned ,4
16,Mance ,Jon ,20
17,Mance ,Stannis ,8
18,Mance ,Rayder ,70
19,Mance ,Melisandre ,3
20,Mance ,Harma ,5
21,Mance ,Tormund ,11
22,Mance ,Val ,5
23,Mance ,Jarl ,3
24,Mance ,Giantsbane ,4
25,Robb ,Jon ,30
26,Robb ,Eddard ,4
27,Robb ,Theon ,16
28,Robb ,Rodrik ,7
29,Robb ,Rickon ,21
30,Robb ,Catelyn ,25
31,Robb ,Arya ,13
32,Robb ,Sansa ,6
33,Robb ,Luwin ,5
34,Robb ,Benjen ,4
35,Robb ,Jaime ,6
36,Robb ,Tyrion ,5
37,Robb ,Balon ,4
38,Robb ,Joffrey ,10
39,Robb ,Edmure ,8
40,Robb ,Walder ,7
41,Robb ,Stannis ,7
42,Robb ,Renly ,5
43,Robb ,Jeyne ,4
44,Robb ,Martyn ,3
45,Robb ,Roose ,3
46,Robb ,Lothar ,4
47,Robb ,Stark ,57
48,Robb ,Snow ,4
49,Robb ,Greyjoy ,5
50,Robb ,Tully ,3
51,Robb ,Lannister ,7
52,Robb ,Frey ,9
53,Robb ,Bolton ,5
54,Robb ,Umber ,3
55,Robb ,Westerling ,4
56,Robb ,Bran ,52
57,Robb ,Hodor ,3
58,Robb ,Greatjon ,6
59,Robb ,Hal ,3
60,Robb ,Rolph ,3
61,Robb ,Raynald ,4
62,Robb ,Ned ,5
63,Jon ,Eddard ,11
64,Jon ,Theon ,3
65,Jon ,Robert ,14
66,Jon ,Rodrik ,5
67,Jon ,Rickon ,7
68,Jon ,Catelyn ,5
69,Jon ,Arya ,12
70,Jon ,Sansa ,4
71,Jon ,Luwin ,3
72,Jon ,Benjen ,12
73,Jon ,Lysa ,7
74,Jon ,Cersei ,4
75,Jon ,Rhaegar ,3
76,Jon ,Jaime ,5
77,Jon ,Tyrion ,8
78,Jon ,Aemon ,17
79,Jon ,Barristan ,3
80,Jon ,Stannis ,21
81,Jon ,Petyr ,3
82,Jon ,Grenn ,16
83,Jon ,Alliser ,9
84,Jon ,Donal ,9
85,Jon ,Bowen ,8
86,Jon ,Denys ,3
87,Jon ,Rast ,4
88,Jon ,Samwell ,11
89,Jon ,Qhorin ,10
90,Jon ,Janos ,4
91,Jon ,Nestor ,3
92,Jon ,Clydas ,6
93,Jon ,Chett ,4
94,Jon ,Robin ,3
95,Jon ,Royce ,3
96,Jon ,Stark ,19
97,Jon ,Rayder ,8
